Asset,Total Count
cryptex-finance,7.598942715
gsenetwork,364
apex-token-2,17706117.3
azuki,300
dione,4805969.724
uniswap,415.0073705
balancer,760.7272025
bancor,2.973961516
raiden-network-token,1.00E-18
digix-gold-token,0.509148944
gnosis-gno,0.335401643
trueusd,10.65102798
xceltoken-plus,150
zeon,95
weth,0.23629624
ethereans,19309.63157
usd-coin,6277.691231
change,2600
shiba-inu,128553720.6
blocks,400
uni-pickle-weth-0xdc98556ce24f007a5ef6dc1ce96322d65832a819,0.428706093
kiba-inu,220226116.7
wrapped-bitcoin,60.07367158
uni-dai-weth-0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,22.59609325
uni-usdc-weth-0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0.007470654
uni-weth-usdt-0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0.000128028
cake-soku-weth-0x0de56b00b45a07b15ca09661336f785e7e4d1d45,515.6115687
bitclave,3
streamr-xdata,5198.409405
omisego,116.8896673
uni-weth-yasha-0x3b35a99780fc2c85943e67a901f10bd7317fec75,2076505.091
yasha-dao,15000465.71
forever-shiba,5406024.813
zion-token,69
coin98,592.9
kleros,32990.05378
mastermind,19990356.93
shibarium-dao,20204689.55
audius,10
jizzrocket,252594.0441
value-liquidity,0.036864
gala,4465
kimchi-finance,2282599973
uni-yfi-weth-0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0.351172636
uni-kimchi-weth-0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,55381.61295
uni-band-weth-0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,60.79393992
uni-susd-weth-0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,391.0331343
reef,71175.33747
eggs,9.76E+11
jiyuu,92.46816865
swingby,915760.9262
uni-cvp-weth-0x12d4444f96c644385d8ab355f6ddf801315b6254,22.35734916
concentrated-voting-power,581.8454906
1inch,26.6994376
force-protocol,1
odyssey,9
endlesswebworlds,99800000
xen-crypto,1000
saiko-the-revival,86056.32512
melos-studio,3543904.91
uni-cream-weth-0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,7.77E-16
sudoswap,14892500
echelon-prime,0.291262136
wpt-investing-corp,27360.67382
finance-vote,192462.685
coinmerge-os,428434
uni-weth-msi-0x6e48dbea2d3b37e4d605fda71e85c52ebc40aa40,921878.2164
martin-shkreli-inu,66400000
zebi,13.86923227
friends,20
ost,22502.61379
dent,271.134355
republic-protocol,17426.58777
funfair,1100.95518
spankchain,4.743080424
credits,59.711362
quant,2.19270648
wepower,1500
wrapped-fantom,644.5774603
xyo-network,3500
livepeer,0.016541741
nebulas-token,0.689838704
qash,5.697504
holo,31515.11165
iotex,4148.599074
worldcore,907
agrello-delta,14.13454338
nucleus-vision,800
ethlend,135.3574776
unibright,6
pumapay,15333.53189
sai,8.680258203
tomochain,4.029789829
veritaseum,7.55E-10
cryptobonusmiles,24192.9
polymath,3.196552853
aurora,5
pundi-x,726427.2203
loom-network,838.7
celsius,98.5709
binance-coin,0.01598804
swtcoin,20000
electrifyasia,80.9394701
cindicator,1015.027737
proton,0.0005
basic-attention-token,0.29572
0x,39.62164621
changenow,130
quarkchain,3715.376384
enigma,1.70E-07
metal,0.00046716
decentraland,142.7624578
enjin-coin,3492.009762
libra-credit,7.740375627
matic-network,317.6904749
scarcity,234.7751306
data-exchange,76396210.87
basis-cash,0.000695814
chainlink,15917.73825
curve-dao-token,1.00E-18
duckdaodime,1.00E-18
aladdin-dao,197327.1833
uni-ald-weth-0xed6c2f053af48cba6cbc0958124671376f01a903,902.5320207
the-graph,2.17E-05
hitchain,181
mysterium,19999
chedda,1352133557
uni-chedda-weth-0x32a505bf9db617d23bf3ebaac9aef80cb24a828c,19188.28622
uni-coshi-weth-0x1c6faf9ad252390ee5e6f0b2f8d2fc927a8eb4e6,1.523238014
uni-elon-weth-0x7b73644935b8e68019ac6356c40661e1bc315860,152407.1274
uni-weth-hoge-0x7fd1de95fc975fbbd8be260525758549ec477960,0.030448989
beyond-protocol,250000
benddao,1
ankr,541.3469689
district0x,310.5191793
yearn-finance,0.003374162
frax-share,0.4444445
husd,4.80E-07
dejitaru-tsuka,400
cult-dao,1743000
strong,1.417714286
yield-app,9427.687493
freqai,34312461.43
uni-usdc-usdt-0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1.00E-12
hex,101.614
uni-moma-weth-0x611abc072ee91c0cc19ffef97ac7e69a1a7a17ec,538.6351772
cake-cig-weth-0x7c5bbe30b5b1c1abaa9e1ee32e04a81a2b20a052,5857.97954
coinwind,3.44E-10
oax,900
decentralized-vulnerability-platform,1100
staked-ether,6.347863982
cake-usdc-cqt-0x17890deb188f2de6c3e966e053da1c9a111ed4a5,0.029194497
cake-weth-imx-0x18cd890f4e23422dc4aa8c2d6e0bd3f3bd8873d8,930.8007179
cake-sps-weth-0x1b803af96f37ae51fa753e13e1d2e372dfa17791,41.7942009
cake-usdc-quartz-0x1e888882d0f291dd88c5605108c72d414f29d460,0.035933458
cake-weth-gods-0x295685c8fe08d8192981d21ea1fe856a07443920,298.3841145
cake-weth-vega-0x29c827ce49accf68a1a278c67c9d30c52fbbc348,2859.852737
