Asset,Total Count,Total Value (USD)
cake-weth-bico-0x55d8ec728ea72477c6db12ca497a803c8db361e9,1650.202401,192057.61
cake-weth-ens-0xa1181481beb2dc5de0daf2c85392d81c704bf75d,364.9151601,286460.31
cake-weth-gods-0x295685c8fe08d8192981d21ea1fe856a07443920,298.3841145,17075.68
cake-weth-hop-0xed92bfe08de542bbb40fdbe0a27ca66313c0c457,182.2108929,7399.14
cake-weth-imx-0x18cd890f4e23422dc4aa8c2d6e0bd3f3bd8873d8,930.8007179,259199.69
cake-weth-jpeg-0xdb06a76733528761eda47d356647297bc35a98bd,3074.160488,8203.43
cake-weth-psp-0x458ae80894a0924ac763c034977e330c565f1687,540.9265228,15787.08
cake-weth-vega-0x29c827ce49accf68a1a278c67c9d30c52fbbc348,2859.852737,434181.9
cake-weth-wncg-0x877d9c970b8b5501e95967fe845b7293f63e72f7,1611.958487,85115.24
cake-wxrp-usdc-0xea9b00b169dda4cbc9fa0a64b0d1e4a6a23a3f34,0.02434182,52545.86
cake-xcrmrk-usdt-0x9b880dd096ef74ef7e4b771526bd9584e0b8f7b5,1.77E-07,2823.69
cake-xdefi-weth-0x37fc088cfd67349be00f5504d00ddb7f2274b3f6,531.5337645,31195.37
cake-ygg-weth-0x99b42f2b49c395d2a77d973f6009abb5d67da343,5555.489709,1148213
cat-token,50,7.44
ccomp,1532.800077,3387.49
cdai,2.00E-08,0
cellframe,151.170771,207.1
celsius,98.5709,26.91
celsius,98.5709,26.91
celsius,98.5709,26.91
chainback,92001.30388,781.06
chainlink,339.2855479,5982.34
chainlink,15917.73825,280664.07
chainlink,27.79286735,490.05
change,2600,9.95
changenow,130,13.39
changenow,130,13.39
changenow,280,28.84
chedda,1352133557,11236.23
cheems-inu-new,14565.3377,2.57
chew,6428171.657,111.91
chew,44638885.66,777.16
cindicator,1016.162391,0.92
cindicator,1015.027737,0.92
cindicator,1016.162391,0.92
civic,500,99.89
civic,500,99.89
coin98,592.9,213.94
coinmerge-os,205771,14.94
coinmerge-os,428434,31.11
coinmerge-os,1562331742,113456.53
coinwind,3.44E-10,0
coinwind,389168.7752,2061.93
compound-governance-token,43.02008413,2979.63
compound-governance-token,1.04E-05,0
compound-usd-coin,18219.01805,431.45
concentrated-voting-power,0.001146022,0
concentrated-voting-power,581.8454906,316.44
concentrated-voting-power,0.001146022,0
concertvr,140.867545,0.09
convex-crv,111263.7574,56083.5
convex-finance,1625.707069,5950.09
cook,128043210,48064.86
covalent,1401,386.13
credits,59.711362,0.22
