Asset,Total Count,Total Value (USD)
bridged-trueusd,0.512863107,0.532864768
bridged-usd-coin-optimism,10081.03229,9976.098825
bridged-usdc-polygon-pos-bridge,11.009886,10.97081191
bridged-usdc-polygon-pos-bridge,10.99,10.95099649
bridged-usdt,2113.564085,2115.677649
bridge-oracle,1.706700706,0.00171549
bridge-oracle,1.4341683,0.001441554
brr-protocol,1.105914546,0.19410238
bsc-station,500,5.53342
bsc-station,500,5.53342
bullbear-ai,45288523753,0
bumper,10.82948849,0.445258426
camelot-token,0.25361299,433.6934297
cap,0.276305556,3.312903616
cartesi,0.000436205,0.000116415
catecoin,143606212.6,63.18673354
catecoin,143610762.7,63.18873559
celer-network,13.81857792,0.409143219
celo-wormhole,0.00221336,0.002366082
chainlink,22.21360094,391.6737193
chainlink,0.017692066,0.311949301
checkdot,0.342242136,0.237348686
chronos-finance,257.8601662,0.690714556
chunks,154.7851933,0.072092752
cipher-2,100,0.080339
cloutcontracts,10,8.2422
clucoin,1352040487,0
codai,17.84827866,0
codai,36.1601943,0
coinbase-wrapped-staked-eth,0.001045825,3.614862738
coinscope,2,0.00629902
collab-land,2285.337722,17.2306237
compounded-marinated-umami,0.095855266,0.490778962
compound-governance-token,0.01924253,1.332765776
connect-financial,0.232343777,0.022039666
connext,22.41956176,5.261153719
cookies-protocol,100,0
core,1000,0.07052
core,1000,0.07052
creda,0.024057418,0.000815479
crvusd,0.873256261,0.868970319
curve-dao-token,4.366455106,2.631438013
curve-fi-usdc-usdt,5689.44725,6201.497503
cyberconnect,6.817503965,85.90054996
d2-token,21.12328002,17.34495892
dai,2596.67453,2591.933002
dao-maker,0.032408628,0.05055746
darkshield,443368.88,141.6031529
darwinia-network-native-token,2964.48,14.3500694
davos-protocol,0.002055,0.00206733
deri-protocol,15.96241421,0.331734883
dextoro,1.00414921,0.389101794
dforce-token,132.1110173,7.403633521
dfx-finance,7.86E-08,5.60E-09
dhedge-dao,9.78921627,1.631274999
dinoswap,93.907,0.091963125
dizzyhavoc,9891.213747,98.7062024
dmail-network,8.1926,6.750415659
dodo,1.464656034,0.322255671
dodo,7.88,1.733768632
dodo,7.880000002,1.733768632
doggy,20293.8,18.49698695
doggy,861.10084,0.784858972
dogira,691,0.12365445
dola-usd,7.337008917,7.323134633
