JSON File,Asset,Total Count
filter_const-address.json,kromatika,42.48121618
filter_const-address.json,seedify-fund,12.94969919
filter_const-address.json,impermax-2,28.92682742
filter_const-address.json,neptune-mutual,2422.352043
filter_const-address.json,gameswift,48.30969765
filter_const-address.json,gyen,0.040862
filter_const-address.json,connext,22.41956176
filter_const-address.json,fuzz-finance,0.788942013
filter_const-address.json,wrapped-steth,1.470787857
filter_const-address.json,genomesdao,11187.51394
filter_const-address.json,sterling-finance,0.000315356
filter_const-address.json,tridentdao,49.4205547
filter_const-address.json,army-of-fortune-gem,34.44644741
filter_const-address.json,apex-token-2,21.03766559
filter_const-address.json,aave-v3-usdc-e,26.885744
filter_const-address.json,ngt,0.374742379
filter_const-address.json,token-dforce-usd,0.013667855
filter_const-address.json,vesta-stable,0.771913637
filter_const-address.json,the-standard-euro,23.12518641
filter_const-address.json,lilai,3694.735343
filter_const-address.json,y2k,47.78498345
filter_const-address.json,uranium3o8,0.000564328
filter_const-address.json,neutra-finance,59.59212222
filter_const-address.json,tarot,321.7707915
filter_const-address.json,stargate-finance,21.81601199
filter_const-address.json,alienfi,2.997229251
filter_const-address.json,dodo,1.464656034
filter_const-address.json,dola-usd,7.337008917
filter_const-address.json,jarvis-reward-token,0.047136784
filter_const-address.json,aave-v3-usdt,38.163464
filter_const-address.json,fuse-network-token,12.59247
filter_const-address.json,lexer-markets,10300.42695
filter_const-address.json,dopex,11.62351985
filter_const-address.json,tbtc,3.00E-08
filter_const-address.json,xpet-tech-bpet,162.1167286
filter_const-address.json,plutus-rdnt,1.26E-11
filter_const-address.json,factor,101.8069582
filter_const-address.json,connect-financial,0.232343777
filter_const-address.json,gas-turbo,0.1
filter_const-address.json,artichoke,2779.148545
filter_const-address.json,pogai,156086.4274
filter_const-address.json,jones-glp,20.96127203
filter_const-address.json,grimace,0.000279867
filter_const-address.json,gnome,122.905265
filter_const-address.json,traderdao-proof-of-trade,9.85E+15
filter_const-address.json,empyreal,3.626318618
filter_const-address.json,banana-coin,3572526624
filter_const-address.json,plutus-arb,117.756984
filter_const-address.json,wombat-exchange,1007.76847
filter_const-address.json,openleverage,0.035284934
filter_const-address.json,ai-code,10.16035977
filter_const-address.json,0xbtc,0.01772747
filter_const-address.json,stacktical,267.8988429
filter_const-address.json,risitas,8808.594864
filter_const-address.json,stfx,44.5340404
filter_const-address.json,peper,19343665.28
filter_const-address.json,arcadeum,328.5774041
filter_const-address.json,yield-yak,0.002634746
filter_const-address.json,numa,34.5363836
filter_const-address.json,granary,68.70566774
filter_const-address.json,liquiddriver,15.03813776
filter_const-address.json,weth,3.971753475
filter_const-address.json,aave-v3-dai,0.097246649
filter_const-address.json,hmx,5.407014561
filter_const-address.json,urdex-finance,819.4271322
filter_const-address.json,black-rabbit-ai,4.045090485
filter_const-address.json,handleusd,16.05589861
filter_const-address.json,bamboo-token-c90b31ff-8355-41d6-a495-2b16418524c2,2.10E-17
filter_const-address.json,equation,0.076906251
filter_const-address.json,acryptos-2,0.604406304
filter_const-address.json,altitude,3006.955014
filter_const-address.json,grai,20.56853359
filter_const-address.json,chunks,154.7851933
filter_const-address.json,dream-machine-token,15.17837123
filter_const-address.json,goldenboys,0.032311213
filter_const-address.json,governance-ohm,0.011425996
filter_const-address.json,liondex,76.26788808
filter_const-address.json,davos-protocol,0.002055
filter_const-address.json,nitroshiba,3792.293713
filter_const-address.json,arbitrum,5993.298035
filter_const-address.json,blobcoin,9017.274313
filter_const-address.json,xcad-network,0.119830268
filter_const-address.json,size-2,276422.2313
filter_const-address.json,liquity-usd,47.70960848
filter_const-address.json,liquid-finance,0.013212959
filter_const-address.json,eclipse-fi,3087.885593
filter_const-address.json,archi-token,51.5314972
filter_const-address.json,betswirl,3289.821102
filter_const-address.json,wrapped-usdr,9.707479234
filter_const-address.json,vertex-protocol,163.9078282
filter_const-address.json,leverageinu,2.234265036
filter_const-address.json,staked-frax-ether,0.000376553
filter_const-address.json,the-graph,21.12219147
filter_const-address.json,pickle-finance,9.42E-09
filter_const-address.json,nitro-cartel,242.6806813
filter_const-address.json,kobe,422023.6609
filter_const-address.json,beefy-finance,0.086482652
filter_const-address.json,math,0.079545576
filter_const-address.json,legends-token,32987.55807
filter_const-address.json,frax-share,0.771284002
filter_const-address.json,ifarm,7.95E-06
filter_const-address.json,omnicat,346751.5281
filter_const-address.json,smolcoin,18521076.07
filter_const-address.json,symbiosis-finance,4.30375759
filter_const-address.json,the-bet,0.093082844
filter_const-address.json,reunit-wallet,74.887121
filter_const-address.json,ferrum-network,0.002341024
filter_const-address.json,gnosis-gno,6.20E-11
filter_const-address.json,lybra-finance,9.8012236
filter_const-address.json,goons-of-balatroon,3851.986318
filter_const-address.json,ethos-reserve-note,29.74893127
filter_const-address.json,kommunitas,610.5804349
filter_const-address.json,magpie,203.9997139
filter_const-address.json,vesta-finance,341.3786777
filter_const-address.json,biconomy,0.651322724
filter_const-address.json,tracer-dao,0.109256387
filter_const-address.json,ramses-exchange,856.0398971
filter_const-address.json,yieldfarming-index,74.3688256
filter_const-address.json,forge,2.63E-05
filter_const-address.json,wicrypt,218.3743833
filter_const-address.json,noisegpt,2231.290649
filter_const-address.json,ichi-farm,0.935688024
filter_const-address.json,dforce-token,132.1110173
filter_const-address.json,arken-finance,376.4312741
filter_const-address.json,usd-coin,1835.73692
filter_const-address.json,vaultka,192.6167473
filter_const-address.json,jpg-nft-index,6.47E-06
filter_const-address.json,a3s,0.002343267
filter_const-address.json,fenglvziv2,50000
filter_const-address.json,hord,0.36304188
filter_const-address.json,mind-games-cortex,0.004149817
filter_const-address.json,taikula-coin,892700.3476
