JSON File,Asset,Total Count,Total Value (USD)
filter_operateBlocknumber.json,cake-cig-weth-0x7c5bbe30b5b1c1abaa9e1ee32e04a81a2b20a052,5857.97954,66331.65
filter_operateBlocknumber.json,cake-cre8-usdt-0x7c03cf21483fa45006e81669b991af3a16733a44,1.343977695,2248.45
filter_operateBlocknumber.json,cake-cvxcrv-crv-0x33f6ddaea2a8a54062e021873bcaee006cdf4007,7704.763075,98.26
filter_operateBlocknumber.json,cake-cvx-weth-0x05767d9ef41dc40689678ffca0608878fb3de906,830.6158195,32067.16
filter_operateBlocknumber.json,cake-dai-wsteth-0xc5578194d457dcce3f272538d1ad52c68d1ce849,144.3099157,109954.86
filter_operateBlocknumber.json,cake-dydx-weth-0xe4ebd836832f1a8a81641111a5b081a2f90b9430,201.378873,99148.11
filter_operateBlocknumber.json,cake-gas-weth-0x7f7d686b05ce0b9b7b7b0b4d56207ace4b13a87a,23403.64857,77700.03
filter_operateBlocknumber.json,cake-get-weth-0xbb19141e045b133169d7c7160c5e54a54cc821b2,0.389170681,1019.53
filter_operateBlocknumber.json,cake-gog-weth-0x5c596c6a65f628fc1090853d8eb1927651e9d9b2,562.1183591,9503.53
filter_operateBlocknumber.json,cake-lyra-weth-0x52dac05fc0000e9f01ce9a1e91592bfbfce87350,2345.947117,4378.45
filter_operateBlocknumber.json,cake-mars4-weth-0xb50580b0d81d9fe860746387cef9a8fc36d48d49,15091.93451,288.17
filter_operateBlocknumber.json,cake-near-weth-0x6469b34a2a4723163c4902dbbdea728d20693c12,226321.3892,2710.67
filter_operateBlocknumber.json,cake-newo-usdc-0xc08ed9a9abeabcc53875787573dc32eee5e43513,0.004840442,1200986.38
filter_operateBlocknumber.json,cake-nftl-weth-0xf79321e80acd5fa590936f09acb90ec6471fcbc4,1802.161686,933.41
filter_operateBlocknumber.json,cake-nst-weth-0x75507bab932fc47531bf1654f243c088a3fa1f69,22.98666826,108449.68
filter_operateBlocknumber.json,cake-ooki-weth-0xeaadde1e14c587a7fb4ba78ea78109bb32975f1e,61.18267725,661.81
filter_const-address.json,,0,2043252.29
filter_operateBlocknumber.json,cake-primate-ape-0xdbb69ea87507525fffbd1c4f1ad6f7d30a9a402e,12838.48422,15806.73
filter_operateBlocknumber.json,cake-radar-weth-0x559ebe4e206e6b4d50e9bd3008cda7ce640c52cb,85141.55221,39878.56
filter_operateBlocknumber.json,cake-soku-weth-0x0de56b00b45a07b15ca09661336f785e7e4d1d45,515.6115687,1716.51
filter_operateBlocknumber.json,cake-sos-weth-0xb84c45174bfc6b8f3eaecbae11dee63114f5c1b2,200519.3648,37703.93
filter_operateBlocknumber.json,cake-sps-weth-0x1b803af96f37ae51fa753e13e1d2e372dfa17791,41.7942009,20649.69
filter_operateBlocknumber.json,cake-thor-weth-0x3d3f13f2529ec3c84b2940155effbf9b39a8f3ec,25058.84014,192057.61
filter_operateBlocknumber.json,cake-toke-weth-0xd4e7a6e2d03e4e48dfc27dd3f46df1c176647e38,128.3319425,286460.31
filter_operateBlocknumber.json,cake-usdc-cqt-0x17890deb188f2de6c3e966e053da1c9a111ed4a5,0.029194497,17075.68
filter_const-address.json,,0,7399.14
filter_operateBlocknumber.json,cake-usdc-diver-0xfe9a776154f30281517d4f06578591911906f4e1,0.010246737,259199.69
