/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/358f0c24c0e887fd452defde41673a08aee2821a_hohum.sol,7,75,67,65,10,587,478,12
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35ed65f4d94cd416cb81612352429fbb8588b01d_UEAOIL.sol,7,74,67,64,10,599,476,18
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35b53cdd9d1F0B8542012f0aC13D736849A55A84_basedp.sol,13,205,121,106,17,1361,747,393
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/356759fE6684601B4FFAafa99eB4C6E50CF70A88_OxPark.sol,7,74,66,64,10,598,474,25
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/358da389eb3a90644143c689a540ce1156e82c8d_tester.sol,13,212,138,117,18,1362,753,403
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/352b78dE8010A6b4b25c4DdFD0Cef83a5b191f15_GHOSTS.sol,7,75,70,68,10,599,485,13
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35881ddb52f085fb00264a221a1566e158eac67c_UNKNOWN.sol,10,158,82,94,12,905,698,20
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35470377E8dC5c19d44ddb7fb6ee7ccFC8E1d11B_Pepeween.sol,7,74,67,64,10,606,476,21
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35c3fb6601fB3DB392bc0C433A4793c190401595_BZKP.sol,7,75,70,65,12,602,488,12
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35f3591fa52cd7631cb084a26b4b3e56b400ebf2_GreenShibInu.sol,7,74,66,64,10,600,474,25
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/355b7f1a2d6b78ff2f742f061cAD44F976f99B38_SHINRA.sol,10,167,105,93,13,821,793,12
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/35/35e2909d936da5b11ac2ae3f8d1a1b9c285f7b6d_PEPEREUM.sol,7,74,66,65,10,630,480,51
