Asset,Total Count
lybra-finance,9.8012236
goons-of-balatroon,3851.986318
ethos-reserve-note,29.74893127
kommunitas,610.5804349
magpie,203.9997139
vesta-finance,341.3786777
biconomy,0.651322724
tracer-dao,0.109256387
ramses-exchange,856.0398971
yieldfarming-index,74.3688256
forge,2.63E-05
wicrypt,218.3743833
noisegpt,2231.290649
ichi-farm,0.935688024
dforce-token,132.1110173
arken-finance,376.4312741
usd-coin,1835.73692
vaultka,192.6167473
jpg-nft-index,6.47E-06
a3s,0.002343267
fenglvziv2,50000
hord,0.36304188
mind-games-cortex,0.004149817
taikula-coin,892700.3476
0xb299751b088336e165da313c33e3195b8c6663a6_ethereum,47.13075696
alt-markets,741.813147
hold-vip,1096022.553
maw,157.3518019
torque,402887.9498
unstoppable-defi,143.8360563
level,214.5238025
mpendle,10.90109413
rocket-pool,0.145266138
abachi-2,0.166724908
bullbear-ai,45288523753
paribus,1417.665466
mizar,3830.216516
sweth,0.0016253
quick-intel,360.381436
equilibria-finance,106.0798008
osaka-protocol,7136548.719
creda,0.024057418
preon-star,0.105753115
post-tech,0.000730919
dxdao,1.07E-11
adventurer-gold,0.03271175
hop-protocol,183.0706556
flash-stake,487.4849867
mycelium,389.7909502
arbiten-10share,0.00130911
parallax,37.88856747
dao-maker,0.032408628
woo-network,142.5974774
exponential-capital-2,2676.522817
fore-protocol,201.809508
anima,12.08617276
el-dorado-exchange-arb,28364.8271
euroe-stablecoin,2.595357
virtuswap,231.5611549
astra-dao-2,12905681.13
doubloon,20.51673751
equilibria-finance-ependle,0.538587315
sushi,13.30018765
bridged-tia-hyperlane,0.648663
gnd-protocol,0.112624287
brr-protocol,1.105914546
sperax-usd,2.336391182
winr-protocol,9967.372418
rosnet,133.4763336
dai,2596.67453
handle-fi,40.97679885
roseon,69.75388728
peg-eusd,0.003479022
swapr,6.686357876
edge-matrix-computing,428.9297637
ankreth,1.42E-05
landx-governance-token,8.589006
locus-finance,0.156884111
wrapped-banano,100.453597
fief,0.005514656
polytrade,8.99335591
staked-frax,0.218459195
kyber-network-crystal,1.786589231
aave-v3-weth,0.002590159
idia,0.43921468
jones-usdc,2.805688638
toxicgarden-finance-seed,72.75567799
plsjones,0.00595696
usd,2.585782
thales,132.3895815
gmbl-computer-chip,1889.096919
axlusdc,0.314012
overnight-dai,0.000282212
gmusd,0.000997226
rocket-pool-eth,0.069202666
spool-dao-token,31.38275238
ghast,0.404923419
wrapped-memory,9.01E-08
arbinyan,4527.301238
d2-token,21.12328002
zenpandacoin,112715001.7
o3-swap,21.08813772
asgardx,0.213646569
wall-street-games-2,55.74078877
white-lotus,0.047852044
xtoken,2.859048685
olympus,11.31405356
kenshi-2,2086.060349
adv3nture-xyz-gold,8.621584275
collab-land,2285.337722
lodestar,399.9532768
arbshib,2.74E+11
savvy-usd,0.540066223
plutus-dpx,0.787608041
genius-x,3.00E-05
aave-v3-aave,3.75E-05
seneca-usd,0.123266682
orbs,5.11E-05
standard-token,258.7757443
