File Path,constant-address
./mainnet/ca/cad124d29c6b7e9bb960780dabf6d37b8e399b65_CEXINU.sol,Yes
./mainnet/4d/4d938a79807340373fe672e1a9255eee529c9b0f_Kijo.sol,Yes
./mainnet/3e/3e5aed5e268c5f523227bc350fa9dc51886b5c36_AKUMA.sol,Yes
./mainnet/0d/0D760e9152e30CAc112054a35EE8f7860A2d2502_Reload.sol,Yes
./mainnet/96/96d7f29c1f56744849d3a23014dec90a2cc9fde0_KYOSHI.sol,Yes
./mainnet/25/25e5c9ca4050974185bbec4c1a44ddca315fa527_UPEREUM.sol,Yes
./mainnet/ef/Efb08BbD7dfA6efa2B6Db434BE774Fa7Dcde6eb1_MetaWarrior.sol,Yes
./mainnet/5d/5DE243EBE08BC8798711EcD1275b9142E96530B8_HackrZ.sol,Yes
./mainnet/f2/f2a8e39849943bff73f808149dd5b128699e74ba_EthereumHalf.sol,Yes
./mainnet/f2/f2dd1fb83c6f73d6cede93f260604f5b759034f5_AURA.sol,Yes
./mainnet/95/95ef80ac642b1bd4b7ae11014c69fd30d6f1a027_TheProtocool.sol,Yes
./mainnet/f5/F55917eba7eDb6a88EE57b6e899391e317cbab45_Wukong.sol,Yes
./mainnet/40/4085c2060dc652da3971463745b3fdea7a4507db_RuneApes.sol,Yes
./mainnet/40/40c8052a29f4834fb7b9720800b9CC58ceFFF804_HeartOfDeFi.sol,Yes
./mainnet/74/749bC53342D74E220e362a03E7Aa73569e5d5Eb4_PURS.sol,Yes
./mainnet/bf/bfc858ca87c5cc3652a2da63bf6e48499e32f094_YAMAKU.sol,Yes
./mainnet/e6/E6C01479A599d6ED12789A48E19b407395029840_BOREDAI.sol,Yes
./mainnet/e6/e6998c02fa232f0c5a7df77388629682219576f1_ENTITY.sol,Yes
./mainnet/31/31576ac682ee0a15c48c4bac24c567f27ca1b7cd_Strategy.sol,Yes
./mainnet/31/311797242cfab059912ef1c03d55e88852705a3f_SHATOSHI.sol,Yes
./mainnet/a1/A1657D9e4787F63A4e1A025bcD911298b271cEA1_Inui.sol,Yes
./mainnet/62/6257628A7D5c1b72Aef41718e2Fb14bd27cdD630_Kumiho.sol,Yes
./mainnet/af/af652e517d113335fd9e0d66fcf80a7edd8bdb35_ToBehonest.sol,Yes
./mainnet/e0/e04fc44d8066178c3d518d366cee9167ee3d0cb9_WhaleCapital.sol,Yes
./mainnet/c7/c7af3d0ac02cad52192c28d17396f4e6a0defe32_UniswapInu.sol,Yes
./mainnet/c7/C7A7DACBeccf77C31a099e72f4Ef27e6C8D3e78B_DROOPY.sol,Yes
./mainnet/f4/f402df8dFDcC45d9EFa90A0AB434D9A2A48aE769_HalfLenny.sol,Yes
./mainnet/c7/c7090b253fc2a8b9602cf414c91a700916e58bc4_SHINA.sol,Yes
./mainnet/b9/b9a813e9c5225df37d313b1ed7f11004fd9befcb_CENT.sol,Yes
./mainnet/99/99dAe64DD84F086E05bd4B22130bB0b7FA1D40Eb_Accismus.sol,Yes
./mainnet/be/be0eb1a2063f1d7eae821e73f842f843d2cb514d_LongCovid.sol,Yes
./mainnet/5c/5cce3091fe66e9e949aeb4edaec73e917463b41c_TransmutationMind.sol,Yes
./mainnet/6a/6a77EF9602b81556E2790111f0A7479ca6E69c06_ZeroEffort.sol,Yes
